departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-22 03:11, 2025-09-22 04:44, 0, walk, 01, taxi, 43
2025-09-22 03:42, 2025-09-22 04:43, 0, walk, 01, taxi, 18
2025-09-22 03:42, 2025-09-22 04:57, 1, walk, 01, taxi, 11
2025-09-22 07:42, 2025-09-22 08:43, 0, walk, 01, taxi, 18
2025-09-22 12:19, 2025-09-22 13:43, 0, walk, 01, taxi, 43
2025-09-22 12:42, 2025-09-22 13:43, 0, walk, 01, taxi, 18
2025-09-22 12:42, 2025-09-22 13:43, 0, walk, 01, taxi, 18
2025-09-22 12:42, 2025-09-22 14:00, 1, walk, 01, taxi, 14
2025-09-22 14:19, 2025-09-22 15:43, 0, walk, 01, taxi, 43
2025-09-22 14:42, 2025-09-22 15:43, 0, walk, 01, taxi, 18
2025-09-22 14:42, 2025-09-22 15:57, 1, walk, 01, taxi, 14
